lugar,tipo_daño,entrecalles,colonia,calle,numero_exterior,atrapados,lesionados,desaparecidos,fallecidos,rescatados,link_google_maps,dirección_completa,lat,lon,entidad,tipo_reporte,necesidades,delegacion,descripcion,Fecha de creación,Última actualización
Casa,Grietas,Av. Chapultepec y Insurgentes,,Av chapultepec,328,,,,,,"http://maps.google.com/maps?q=loc:19.4230391,-99.1643976","Av Chapultepec 328, Roma Nte., 06700 Ciudad de México, CDMX, Mexico",19.4230391000,-99.1643976000,Col roma,,,Cuauhtemoc,Grietas enormes en habitaciones muros escaleras,,
Oficinas,Grietas,Av. Cien metros y NA,,Plan de tuxtepec,42,,,,,,"http://maps.google.com/maps?q=loc:19.5159961,-99.1394265","Plan de Tuxtepec 42, La Purísima Ticoman, 07320 Ciudad de México, CDMX, Mexico",19.5159961,-99.1394265,Ciudad de mexico,,,Gustavo a . Madero,Grieta en planta baja en cuarto y parte del baño,,
Departamentos,Grietas,Av. de las Torres y Flor del Campo,,Av Universidad,1953,,,,,,"http://maps.google.com/maps?q=loc:19.3392532,-99.1825435","Avenida Universidad 1953, Copilco Universidad, 04310 Ciudad de México, CDMX, Mexico",19.3392532000,-99.1825435000,NA,,,Coyoacán,Varias cuarteaduras y grietas y algunos yesos y azulejos caídos,,
NA,NA,Av. Eduardo Molina y Av. Gran Canal,,Calz. San Juan de Aragon,439,,,,,,"http://maps.google.com/maps?q=loc:19.4756223,-99.096469","Calz. San Juan de Aragón 439, DM Nacional, San Pedro el Chico, 07480 Ciudad de México, CDMX, Mexico",19.4756223000,-99.0964690000,Gustavo A. Madero  Ciudad de Mexico,,,Gustavo A. Madero,Grietas en suelo y muros que soportan la infraestructura,,
Otro,Grietas,av. ignacio zaragoza y constitucion de apatzingan,,Prolongación Martín Mendalde,1764,,,,,,"http://maps.google.com/maps?q=loc:19.3632027,-99.1721861","Martin Mendalde 1764, Acacias, 03240 Ciudad de México, CDMX, Mexico",19.3632027000,-99.1721861000,CdMx,,,Benito Juárez,"El edificio tiene grietas internas y externas, las columnas grietas verticales, el interior de las escaleras muy agrietado, los departamentos con grietas horizontales y verticales",,
Casa,Grietas,Av. Lerma y Av. Almoloya,,Hidalgo,0,,,,,,"http://maps.google.com/maps?q=loc:19.2507347,-99.6622937","Hidalgo 0, Delegación Capultitlán, 50260 Toluca de Lerdo, Méx., Mexico",19.2507347000,-99.6622937000,"Zacango, Villa Guerrero, Estado de Mexico",,,Zacango,"Prácticamente se agrieto la planta baja de la edificación de la casa, la cual está construida en desniveles. Casi totalmente alrededor de la misma se pueden notar las grietas.",,
otro,NA,Av. López Mateos y Norte 10 es una reja con jardín,,Oriente 22 4a Cerrada,MZ 496 LOTE 60,,,,,,,"Oriente 22 4a, Municipio Valle de Chalco Solidaridad ,ciudad de mexico",NA,NA,Estado de México,,,Municipio Valle de Chalco Solidaridad,Grietas grandes en muro de cocina y barda. Grietas más chicas en baño y cuartos,,
Otro,Derrumbe parcial,Av. Miguel Hidalgo y Nicolas Bravo,,Diagonal 20 de Noviembre,219,,,,,,"http://maps.google.com/maps?q=loc:19.4230836,-99.1351227","Av. 20 de Noviembre 219, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",19.4230836000,-99.1351227000,Ciudad de México,,,Cuahtemoc,NA,,
Casa,Grietas,Av. Ocho francisco morazan y Av. Seis,,Av cuauhtemoc,1012,,,,,,"http://maps.google.com/maps?q=loc:19.3821761,-99.1580606","Av cuauhtemoc 1012 , Benito juárez ,ciudad de mexico",19.3821761000,-99.1580606000,"Col. Narvarte, DF",,,Benito juárez,Hay varias grietas en los departamentos en la parte baja y alta de los muros. Se cayó parte de las paredes en distintas zonas.,,
Casa,Derrumbe parcial,Av. Pantitlán y Bucareli,,Laguna de Mayran,166,,,,,,"http://maps.google.com/maps?q=loc:19.4423003,-99.1859615","Laguna de Mayrán 166, Granada, 11320 Ciudad de México, CDMX, Mexico",19.4423003000,-99.1859615000,Anahuac I,,,Miguel Hidalgo,NA,,
NA,NA,av. pantitlan y sur 1,,oriente 8,273 colonia Reforma,,,,,,"http://maps.google.com/maps?q=loc:19.3762249,-98.9810697","oriente 8 273 colonia Reforma , Nezahualcoyotl ,ciudad de mexico",19.3762249000,-98.9810697000,Estado de México,,,Nezahualcoyotl,bardas (a punto de caer) y trabes agrietadas.,,
Hospital,Destruccion en escaleras,Av. Paseo Tollocan,,Av. Paseo Tollocan,7225392810,,,,,,"http://maps.google.com/maps?q=loc:19.2874277,-99.6187722","Av. Paseo Tollocan, Toluca de Lerdo, Méx., Mexico",19.2874277000,-99.6187722000,Estado de México,,,NA,NA,,
NA,NA,Av. Plan de Ayala,,Potrero Verde 300 edificio J,300,,,,,,"http://maps.google.com/maps?q=loc:18.9231672,-99.2206474","Potrero Verde 300 edificio J 300 , Cuernavaca ,ciudad de mexico",18.9231672000,-99.2206474000,Cuernavaca Morelos,,,Cuernavaca,Grieta en la base del edificio de departamentos Potrero Verde edificio J.,,
Casa,Grietas,Av. Prados de Aragón y Tlaxcoaque,,prados de framboyan,67,,,,,,"http://maps.google.com/maps?q=loc:19.4683129,-99.0435068","P. de Framboyán 67, Prados de Aragon, 57179 Nezahualcóyotl, Méx., Mexico",19.4683129,-99.0435068,nezahualcoyotl,,,Gustavo A. Madero,Grietas en pared,,
NA,otro,Av. Reforma y 3 Sur,,11 Sur,104,,,,,,"http://maps.google.com/maps?q=loc:19.0693059,-98.2392037","Calle 69 Sur 104, Libertad, 72130 Puebla, Pue., Mexico",19.0693059000,-98.2392037000,Puebla,,,Puebla,NA,,
NA,NA,Av. Rio Consulado y Av. 504,,Av. 557,38,,,,,,"http://maps.google.com/maps?q=loc:19.4877569,-99.0673894","Delegación Gustavo A. Madero 38, Providencia, 57120 Ciudad de México, CDMX, Mexico",19.4877569000,-99.0673894000,CDMX,,,Gustavo A. Madero,Se hicieron las grietas en el cuarto qué da a la fachada de la casa Techo y paredes.,,
Casa,Grietas,Av. San Pablo y Continuación San Andres,,Resina,239,,,,,,"http://maps.google.com/maps?q=loc:19.4014062,-99.0932688","Resina 239, Granjas México, 08400 Ciudad de México, CDMX, Mexico",19.4014062,-99.0932688,NA,,,Iztacalco,Coarteaduras en pared,,
Oficinas,Fuga de gas,Av. Santa Fe y Av. Javier Barrios Sierra,,Chihuahua,201,,,,,,"http://maps.google.com/maps?q=loc:28.3990198,-106.8605516","Chihuahua 201, República, 31590 Cd Cuauhtémoc, Chih., Mexico",28.3990198000,-106.8605516000,CDMX,,,Cuauhtémoc,Grietas en parte del edificio.,,
Casa,Grietas,Av. Texcoco y 42994,,Nezahualcoyotl,188,,,,,,"http://maps.google.com/maps?q=loc:19.377896,-99.035085","Cuauhtémoc 188, El Paraíso, 09230 Ciudad de México, CDMX, Mexico",19.3778960000,-99.0350850000,Ciudad de mexico,,,Cuauhtemoc,Cuarteadura en pared de habitación principal,,
NA,NA,Av. Tlahuac  alta tensión,,Amado nervo,112,,,,,,"http://maps.google.com/maps?q=loc:19.3041491,-99.0483565","Amado Nervo 112, Santa Ana Poniente, 13300 Ciudad de México, CDMX, Mexico",19.3041491000,-99.0483565000,Cdmx,,,Tlahuac,Grietas en muros y esquinas de departamentos caída de barda perimetral  ruptura de tuberías de agua...,,
Departamentos,Derrumbe parcial,Av. Tlahuac y Antioquia,,Ricardo Florea Magon,153,,,,,,"http://maps.google.com/maps?q=loc:19.4531091,-99.1470454","Av. Ricardo Flores Magón 153, Tlatelolco, 06900 Ciudad de México, CDMX, Mexico",19.4531091000,-99.1470454000,Ciudad de Mexico,,,Cuauhtemoc,Grietas en departamentos y areas comunes,,
NA,NA,Av. Universidad y Amores,,Av. Coyoacan,1878,,,,,,"http://maps.google.com/maps?q=loc:19.3617261,-99.1719894","Av. Coyoacán 1878, Acacias, 03100 Ciudad de México, CDMX, Mexico",19.3617261000,-99.1719894000,Cdmx,,,Benito Juarez,Separacion de las escaleras con la pared  grietas desde el suelo al techo (2 metros)  caida de una puerta  y desprendimiento de azulejo en baño y pedazos pequeños del techo,,
NA,NA,Av. Universidad y manzano,,Avenida rio mixcoac,301,,,,,,"http://maps.google.com/maps?q=loc:19.360905,-99.1740202","Avenida rio mixcoac 301 , Coyoacan ,ciudad de mexico",19.3609050000,-99.1740202000,Ciudad de mexico,,,Coyoacan,Grietas en la sala de espera y algunos consultorios  la estructura es plafon,,
NA,NA,Av.iman y Libertad por la planta de asfalto,,Rinconada de los personajes Edificio Pedro Paramo,303  referencia Quinta seccion,,,,,,"http://maps.google.com/maps?q=loc:19.3082297,-99.1682659","Rinconada de los personajes, Coyoacan ,ciudad de mexico",19.3082297000,-99.1682659000,Cd. de México,,,Coyoacan,Cuarteadurasen la union de escaleras con el piso inferior de del tercer piso y segundo nivel,,
Casa,Grietas,Av.Lopez Mateo y Calle presas,,Vicente guerrero mz 44 LTE 312 colonia Guadalupe tlaltenco,13450,,,,,,"http://maps.google.com/maps?q=loc:19.2937961,-99.0121013","Vicente Guerrero 44, Guadalupe, 13450 Ciudad de México, CDMX, Mexico",19.2937961,-99.0121013,Ciudad,,,Tlahuac,Un cacho de concreto se calló y agrieto las. Paredez,,
NA,NA,Av.r1 y Dr.Jorge Jiménez cantu,,Calle  12,Mz 9 lt 21,,,,,,"http://maps.google.com/maps?q=loc:19.5172109,-99.1610146","Calle 12 9, Ampliación Progreso Nacional, 07600 Ciudad de México, CDMX, Mexico",19.5172109000,-99.1610146000,Ecatepec,,,NA,Grieta en la esquina de una ventana en el primer piso  se puede ver por fuera de la casa y por dentro de la casa  asumimos que atraviesa lo ancho de la pared,,
NA,NA,AV.TENAYUCA CHALMITA / RÍO STA. MARÍA,,AV RÍO SAN JOAQUÍN EL ARBOLILLO CTM,EDIF. 5,,,,,,,"AV RÍO SAN JOAQUÍN EL ARBOLILLO , GUSTAVO A. MADERO ,ciudad de mexico",NA,NA,CIUDAD DE MEXICO,,,GUSTAVO A. MADERO,GRIETAS EN ESCALERA  URGE REVISION,,
Departamentos,Grietas,Ave aztecas y Crepúsculo,,Oaxaca,193,,,,,,"http://maps.google.com/maps?q=loc:19.315821,-99.2228656","Av. Oaxaca 193, San Jerónimo Aculco, Ciudad de México, CDMX, Mexico",19.3158210000,-99.2228656000,Ciudad de mexico,,,Magdalena contreras,Un lado del edificio tiene muchas cuarteadas,,
Departamentos,Grietas,Ave de paraiso y Amapola,,Altadena,59,,,,,,"http://maps.google.com/maps?q=loc:19.3962466,-99.1737694","Altadena 59, Nápoles, 03810 Ciudad de México, CDMX, Mexico",19.3962466000,-99.1737694000,NA,,,Benito juarez,Grietas en la estructuras del estacionamiento y en algunos departamentod,,
Casa,Grietas,Avenida 2 y Avenida 4,,Concepción Beistegui,518,,,,,,"http://maps.google.com/maps?q=loc:19.390043,-99.1682665","Calle Concepción Beistegui 518, Col del Valle Nte, 03100 Del Valle Nte, CDMX, Mexico",19.3900430000,-99.1682665000,Ciudad de México,,,Benito Juárez,"Grietas en todo el edificio, escaleras, fisura en un pilar principal, muros casi x derrumbar",,
Departamentos,Grietas,Avenida 3 y Av3nida 2,,Bruno Traven,150,,,,,,"http://maps.google.com/maps?q=loc:19.3597984,-99.1616745","Bruno Traven 150, Gral Anaya, 03340 Ciudad de México, CDMX, Mexico",19.3597984000,-99.1616745000,NA,,,Benito juarez,Grieta en centro de muro de 4 metros. Abarca primer y segunda planta,,
Oficinas,Grietas,Avenida Ceylan y Norte 59,,Plaza Rocío,14,,,,,,"http://maps.google.com/maps?q=loc:19.355784,-99.2342455","Plaza del Rocío 14, Belen de las Flores, 01110 Ciudad de México, CDMX, Mexico",19.355784,-99.2342455,Ciudad de México,,,Álvaro Obregón,"grita diagonal por escaleras, y grietas a lo alto de paredes, no se ve ven muy profundas.",,
Departamentos,Grietas,Avenida colonia Del Valle y Eugenia,,Guerrero (Ignacio Allende),340,,,,,,"http://maps.google.com/maps?q=loc:19.4486475,-99.1369714","Ignacio Allende 340, Guerrero, 06300 Ciudad de México, CDMX, Mexico",19.4486475000,-99.1369714000,Df,,,Cuauhtémoc,Grietas y hundimiento del suelo,,
Oficinas,Grietas,Avenida de las granjas y Norte 55,,Antonio Dovalí Jaime,3,,,,,,"http://maps.google.com/maps?q=loc:19.3674493,-99.2591212","Plaza Samara, Antonio Dovali Jaime No. 94, Alvaro Obregon, Santa Fe, 1210 Ciudad de México, CDMX, Mexico",19.3674493,-99.2591212,Santa Fe Universidad Panamericana,,,Álvaro Obregón,Fuga de gas dentro de todo el edificio,,
Casa,Grietas,Avenida del peñon y Quetzalli,,Cusrta calle paseo chico,24,,,,,,"http://maps.google.com/maps?q=loc:19.3503256,-99.1231903","Cusrta calle paseo chico 24 , Coyoacan ,ciudad de mexico",19.3503256000,-99.1231903000,NA,,,Coyoacan,Fuga de gas prolongada y caso derrumbe de un edificio aledaño,,
Departamentos,Derrumbe parcial,Avenida Emiliano Zapata y Repúblicas,,Campo Macuspana,18,,,,,,"http://maps.google.com/maps?q=loc:19.495943,-99.1854692","Campo Macuspana 18, Reynosa Tamaulipas, 02200 Ciudad de México, CDMX, Mexico",19.4959430000,-99.1854692000,Reynosa de Tamaulipas,,,Azcapotzalco,fracturas leves en parte alta del edificio,,
Departamentos,Grietas,avenida Jalisco y gaviota,,Morelos,NA,,,,,,"http://maps.google.com/maps?q=loc:16.5552927,-94.9468745","Morelos, La Ventosa, Oax., Mexico",16.5552927000,-94.9468745000,NA,,,La ventosa,NA,,
Casa,Grietas,Avenida Lorenzo Boturini y Nivel,,Calle veracruz,106,,,,,,"http://maps.google.com/maps?q=loc:19.0755891,-98.2491685","Calle veracruz 106 , Puebla ,ciudad de mexico",19.0755891000,-98.2491685000,Puebla,,,Puebla,"Grietas en paredes de recamaras y sala, fachada",,
NA,NA,Avenida mañanitas y rancho grande,,La negra,357,,,,,,"http://maps.google.com/maps?q=loc:19.4186572,-99.0122989","Calle Aguila Negra 357, Benito Juárez, 57000 Nezahualcóyotl, Méx., Mexico",19.4186572000,-99.0122989000,Nezahualcóyotl,,,Benito Juárez,Grietas y aberturas grandes  no es posible cerra puerta.,,
NA,NA,Avenida Michoacán y avenida Gavilán,,Avenida San Rafael Atlixco,Sin número,,,,,,"http://maps.google.com/maps?q=loc:19.362689,-99.074622","Av. San Rafael Atlixco S/N, Iztapalapa, Guadalupe del Moral, 09300 Ciudad de México, CDMX, Mexico",19.3626890000,-99.0746220000,México,,,Iztapalapa,Grietas en piso y banquetas fuera y dentro del inmueble,,
NA,NA,Avenida Morelos y Roa Barcenas,,Calzada de la Viga,252,,,,,,"http://maps.google.com/maps?q=loc:19.4098968,-99.1269708","Calzada de la Viga 252 , Venustiano Carranza ,ciudad de mexico",19.4098968000,-99.1269708000,Ciudad de México,,,Venustiano Carranza,Grietas en pasillos de dos torres,,
NA,NA,Avenida Oceanía,,Bosques de los continentes,S/n,,,,,,"http://maps.google.com/maps?q=loc:19.4665569,-99.0502157","Bosques de los Continentes, Bosques de Aragon, 57170 Nezahualcóyotl, Méx., Mexico",19.4665569000,-99.0502157000,Bosques de Aragón,,,Nezahualcóyotl,Al terminar el puente  la tierra se abrió y formó una grieta a todo lo ancho de la avenida; en las uniones del puente  se levantó el pavimento  mostrando daños a las mismas. Sugiero cerrar a la circulación  hay una gasolinera en la esquina y varias escuelas al frente,,
Departamentos,Grietas,Avenida prados y Avenida canal de castera,,avenida magna,6,,,,,,"http://maps.google.com/maps?q=loc:19.4044866,-99.2748539","Via Magna 6, Bosque de las Palmas, 52787 Naucalpan de Juárez, Méx., Mexico",19.4044866,-99.2748539,Interlomas,,,Huixquilucan,NA,,
Departamentos,Grietas,Avenida prados y Avenida canal de castera,,U. Hab el coloso,10,,,,,,"http://maps.google.com/maps?q=loc:16.846051,-99.8125646","Vicente Gro., coloso ruta axtel, El Coloso, Acapulco, Gro., Mexico",16.846051,-99.8125646,NA,,,Acapulco guerrero,Grietas en fachadas y escaleras grietas profundas con rriesco a colapsar estaleras de acceso al edif. Etap 10 edif. 39,,
Casa,Grietas,Avenida prolongación Hidalgo y Camino nacional sur,,Rinconada santa Teresa,1025,,,,,,"http://maps.google.com/maps?q=loc:19.3012188,-99.1978616","Rcda. de Sta. Teresa 1025, Faroles del Pedregal, 14018 Ciudad de México, CDMX, Mexico",19.3012188,-99.1978616,NA,,,Tlalpan,Grietas en el interior delvedificio,,
Casa,Grietas,Avenida Tepatitlàn y Sierra Hermosa,,Plaza de la republica,57833504,,,,,,"http://maps.google.com/maps?q=loc:19.4838661,-99.0339889","Plaza de La República, Plazas de Aragon, 57139 Nezahualcóyotl, Méx., Mexico",19.4838661,-99.0339889,NA,,,Nezahualcóyotl,Grietas en la casa,,
NA,NA,Avenida Tezontle y oriente 116,,Andador picos de iztacalco,Manzana 10 Lote 11 unidad picos de iztacalco,,,,,,"http://maps.google.com/maps?q=loc:19.3865871,-99.1095331","Calle Sirenas 50, Local 3, Iztacalco, INFONAVIT Iztacalco, 08900 Ciudad de México, CDMX, Mexico",19.3865871000,-99.1095331000,Ciudad de Mexico,,,Iztacalco,Muy severa,,
NA,NA,Avenida Tláhuac,,Las Bodas de Fígaro,55,,,,,,"http://maps.google.com/maps?q=loc:19.2952835,-99.0448114","Las Bodas de Figaro 55, Santa Ana Poniente, 13300 Ciudad de México, CDMX, Mexico",19.2952835000,-99.0448114000,Ciudad de México,,,Tlahuac,Los castillos de tres edificios se dañaron  hay muros de carga sentidos  bardas perimetrales con grietas de más de 2 céntimetros.,,
Comercio,Derrumbe parcial,Avenida Toluca y Desierto de los Leones,,25,157,,,,,,"http://maps.google.com/maps?q=loc:19.4771412,-99.1515033","Calle 25 157, Pro Hogar, 02600 Ciudad de México, CDMX, Mexico",19.4771412000,-99.1515033000,NA,,,Azcapotzalco,Daño en fachada,,
Departamentos,Grietas,Avenida Victoria y Norte 86-A,,Norte 86-A,6006,,,,,,"http://maps.google.com/maps?q=loc:19.4656658,-99.0991184","Nte. 86-A 6006, Gertrudis Sánchez II Secc, 07839 Ciudad de México, CDMX, Mexico",19.4656658,-99.0991184,Ciudad de México,,,Gustavo A. Madero,"Grietas grandes en la parte inferior del edificio, daño del mosaico.",,
Casa,Grietas,Avila Camacho y Ignacio Zaragoza,,Jacarandas y Copa de Oro S/N Col. Ciudad Jardín Cp 04600,NA,,,,,,,"Jacarandas y Copa de Oro S/N Col. Ciudad Jardín Cp 04600   , Coyoacán ,ciudad de mexico",,,Coyoacán,,,Coyoacán,Fisura en muro de bodega de educación física,,
Departamentos,Grietas,Avispa y NA,,Xochcoatlan,62,,,,,,"http://maps.google.com/maps?q=loc:19.4300793,-99.0570331","Xochicoatlán 62, Arenal 4ta Secc, 15640 Ciudad de México, CDMX, Mexico",19.4300793,-99.0570331,NA,,,Venustiano Carranza,"Se agrieto, la pared derecha de mi casa. La que se comparte con el vecino.",,
Departamentos,Otro,Ayuntamiento y Cerrada del trabajo,,Avenida 5 de mayo,315,,,,,,"http://maps.google.com/maps?q=loc:18.2747054,-96.0006523","Av. 5 de Mayo 315, Centro, Ver., Mexico",18.2747054000,-96.0006523000,Huejotzingo Puebla,,,Centro,Derrumbe de techo,,
Departamentos,Grietas,Ayuntamiento y Ernesto pugibet,,Lerdo,178,,,,,,"http://maps.google.com/maps?q=loc:19.4491935,-99.1416372","Lerdo 178 , Cuauhtémoc ,ciudad de mexico",19.4491935000,-99.1416372000,NA,,,Cuauhtémoc,La cúpula de  la Iglesia está con muchas grietas,,
NA,NA,Azafrán y Añil (Eje 3)  frente a Alfalfar. Granjas México.,,9a Cerrada Azafrán,489.F,,,,,,"http://maps.google.com/maps?q=loc:19.3994503,-99.0922104","Novena Cerrada Azafrán 489, Granjas México, 08400 Ciudad de México, CDMX, Mexico",19.3994503000,-99.0922104000,Ciudad de México,,,Iztacalco,Grieta en un cuarto habitacional que se observa algo profunda  y larga,,
Comercio,Grietas,Azores y Divicion del Norte,,obrero mundial,195,,,,,,"http://maps.google.com/maps?q=loc:19.40108,-99.1630306","Calz. Obrero Mundial 195, Col del Valle Nte, 03103 Del Valle Nte, CDMX, Mexico",19.4010800000,-99.1630306000,CDMX,,,benito juarez,muchos deptos tienen grietas,,
Departamentos,Grietas,Azucena y Oriente 185,,Praga,48,,,,,,"http://maps.google.com/maps?q=loc:19.4234823,-99.1689122","Praga 48, Juárez, 06600 Ciudad de México, CDMX, Mexico",19.4234823,-99.1689122,Cdmx,,,Cuauhtémoc,"Caída de muros superiores, cuarteaduras estructurales, desprendimiento de acabados de fachada, roturas de cristal, desprendimiento de acabados interiores.",,
Departamentos,Grietas,Bahia de ballenas y Bahía del espíritu Santo,,Priv Sitare Fracc Real Verona,14,,,,,,,"Priv Sitare Fracc Real Verona 14 , Tecamac, edo Mexico ,ciudad de mexico",,,NA,,,"Tecamac, edo Mexico",NA,,
Casa,Grietas,Bahia de Chachalacas y Bahia de Palmas y Bahia de santa barbara,,Patriotismo,711,,,,,,"http://maps.google.com/maps?q=loc:19.4308281,-99.214222","Patriotismo 711 , Benito Juárez ,ciudad de mexico",19.4308281000,-99.2142220000,CD.MX.,,,Benito Juárez,Daño en las escaleras y en los elevadores,,
Departamentos,Grietas,Bahia de Chachalacas y Bahia de Palmas y Bahia De Santa Barbara,,Plaza DM9 edf. D15,15,,,,,,,"Plaza DM9 edf. D15 15 , Puebla ,ciudad de mexico",,,Puebla,,,Puebla,"Grietas agudas en fachadas del edificio, cisterna con fuga de agua",,
Departamentos,Grietas,Bahia de concepcion y Bahia de todos los santos,,Nuevo León,240,,,,,,"http://maps.google.com/maps?q=loc:19.4037446,-99.1708897","Nuevo León 240 , Cuauhtémoc ,ciudad de mexico",19.4037446000,-99.1708897000,Ciudad de México,,,Cuauhtémoc,Se habrieron grietas estructurales importantes en varios cuartos.Hubo fuga de gas.,,
NA,NA,Bahía de santa Bárbara,,BAHIA DE BALLENAS,52-1,,,,,,,"BAHIA DE BALLE S 52 , Miguel Hidalgo ,ciudad de mexico",NA,NA,CDMX,,,Miguel Hidalgo,Varias grietas y fisuras en interior y exterior del departamento.,,
NA,NA,Baja California,,Linares,37,,,,,,"http://maps.google.com/maps?q=loc:19.4059923,-99.1603932","Linares 37, Roma Sur, 06760 Ciudad de México, CDMX, Mexico",19.4059923000,-99.1603932000,Ciudad de México,,,Cuauhtemoc,Daños muy severos en la estructura paredes,,
residencial,daño mayor,baja california y manzanillo,Roma Norte,,,,,,,,"https://www.google.com.mx/maps/place/Manzanillo,+Roma+Nte.,+06700+Ciudad+de+M%C3%A9xico,+CDMX/@19.4080493,-99.1677978,17z/data=!4m5!3m4!1s0x85d1ff1575d4f951:0x9659fdd1a2187185!8m2!3d19.4114797!4d-99.166167",,19.4080493000,-99.1677978000,,,,,,,
Casa,Grietas,Baja California y Río Churubusco,,Eje central,315,,,,,,"http://maps.google.com/maps?q=loc:19.4060046,-99.1450152","Eje Central Lázaro Cárdenas 315, Buenos Aires, 06780 Ciudad de México, CDMX, Mexico",19.4060046000,-99.1450152000,NA,,,Cuauhtemoc,Grietas en las paredes,,
NA,NA,Baja California y tlaxcala,,Nuevo leon,192,,,,,,"http://maps.google.com/maps?q=loc:19.4061392,-99.1715851","Av Nuevo León 192, Hipódromo, 06100 Ciudad de México, CDMX, Mexico",19.4061392000,-99.1715851000,Ciudad de México,,,Cuauhtémoc,Grietas en columnas  muros  cristales rotos,,
NA,NA,Baja California y tlaxcala,,Nuevo León,192,,,,,,"http://maps.google.com/maps?q=loc:19.4061392,-99.1715851","Av Nuevo León 192, Hipódromo, 06100 Ciudad de México, CDMX, Mexico",19.4061392000,-99.1715851000,Ciudad de México,,,Cuauhtémoc,Vidrios rotos  grietas  pared rota  escaleras,,
NA,NA,Baja California y Tlaxcala,,Avenida Nuevo Leon,192,,,,,,"http://maps.google.com/maps?q=loc:19.4061392,-99.1715851","Avenida Nuevo Leon 192 , Cuauhtemoc ,ciudad de mexico",19.4061392000,-99.1715851000,Ciudad de mexico,,,Cuauhtemoc,Muchisimas grietas en la mayoria del edificio en especial y las mas fuertes ennokanta baja  primer y segundo piso,,
NA,NA,Baja California y Tlaxcala,,Nuevo León,192,,,,,,"http://maps.google.com/maps?q=loc:19.4061392,-99.1715851","Av Nuevo León 192, Hipódromo, 06100 Ciudad de México, CDMX, Mexico",19.4061392000,-99.1715851000,Hipódromo,,,Cuauhtémoc,Desprendimiento de Lozas  mamposterías y aparente compresión,,
,derrumbe,baja california y torreon,,,,,,,,,"https://www.google.com.mx/maps/place/Torre%C3%B3n+%26+Calle+Baja+California,+En+Construcci%C3%B3n,+28048+Colima,+Col./@19.2340242,-103.6923966,17z/data=!3m1!4b1!4m5!3m4!1s0x842550796140f4ad:0xfaeedf8f6ac27be1!8m2!3d19.2340242!4d-103.6902079?hl=es-419",,19.4050345000,-99.1628185000,,,,,,,
NA,NA,Bajio y Viaducto,,Tuxpan,90,,,,,,"http://maps.google.com/maps?q=loc:19.4022558,-99.1667288","Tuxpan 90 , CUAUHTÉMOC ,ciudad de mexico",19.4022558000,-99.1667288000,Distrito Federal,,,CUAUHTÉMOC,Presenta grietas no sabemos si son estructurales,,
Oficinas,Grietas,Balderas y Bucareli,,Roma,52,,,,,,"http://maps.google.com/maps?q=loc:19.4298502,-99.1597041","Roma 52, Juárez, 06600 Ciudad de México, CDMX, Mexico",19.4298502,-99.1597041,NA,,,Cuauhtemoc,"La fachada está muy agrietada, se cayeron pedazos enteros de concreto y rompieron ventanas",,
Oficinas,Grietas,Balderas y Humbolt,,Roble,31,,,,,,"http://maps.google.com/maps?q=loc:19.5924639,-99.0341842","Roble 31, Jardines de Ecatepec, 55040 Ecatepec de Morelos, Méx., Mexico",19.5924639,-99.0341842,"Colonia jardines de ecatepec, Ecatepec de Morelos, estado de México",,,Ecatepec de Morelos,Daño de grieta severa en la base de un poste e inclinación del mismo con peligro de caída,,
Departamentos,Grietas,Balderas y Revillagigedo,,Lázaro Cárdenas,855,,,,,,"http://maps.google.com/maps?q=loc:19.3849118,-99.1475347","Lázaro Cárdenas 855 , Benito Juárez ,ciudad de mexico",19.3849118000,-99.1475347000,Ciudad de México,,,Benito Juárez,NA,,
NA,NA,Baluarte,,Conspiradores,4,,,,,,"http://maps.google.com/maps?q=loc:18.814891,-98.9541633","Conspiradores 4, Centro, 62740 Cuautla, Mor., Mexico",18.8148910000,-98.9541633000,Morelos,,,Cuautla,Cuateaduras en todo el edificio  vidrios rotos y desprendimiento de escaleras,,
Comercio,Grietas,BARRANCA DEL MUERTO y GUSTAVO E. CAMPA,,Xicoténcatl y General Anaya,NA,,,,,,"http://maps.google.com/maps?q=loc:19.3561548,-99.1489546","Calle Xicoténcatl & Calz. Gral. Anaya, San Diego Churubusco, 04120 Ciudad de México, CDMX, Mexico",19.3561548000,-99.1489546000,NA,,,Coyoacán,Grietas y bardas dañadas,,
Otro,Derrumbe parcial,Barranca y Cerrada de David Scott,,Avenida chapultepec,328,,,,,,"http://maps.google.com/maps?q=loc:19.4230391,-99.1643976","Av Chapultepec 328, Roma Nte., 06700 Ciudad de México, CDMX, Mexico",19.4230391000,-99.1643976000,Cdmx,,,Cuauhtemoc,Pisos totalmente dañados con grietas abiertas,,
Casa,Grietas,Barrio La lupita y San Juan Ixtayopan,,Av chapultepec,328,,,,,,"http://maps.google.com/maps?q=loc:19.4230391,-99.1643976","Av Chapultepec 328, Roma Nte., 06700 Ciudad de México, CDMX, Mexico",19.4230391000,-99.1643976000,Col roma,,,Cuauhtemoc,Grietas enormes daño a la estructura y daños en escaleras,,
